                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.1557,                0.99238,                 1.6585,                0.95705,                0.96217,                0.98399,                 0.7755,                0.82043,                0.60539,                   1.34,               0.009802,               0.009802,               0.009802
                     32,                 1.1647,                0.95956,                 1.6808,                0.96771,                0.96859,                0.98309,                0.79859,                0.73978,                0.62251,                 1.2711,              0.0097954,              0.0097954,              0.0097954
                     33,                 1.1267,                0.95802,                 1.6519,                0.96846,                0.95236,                0.97932,                0.79354,                0.72304,                0.56555,                 1.2577,              0.0097888,              0.0097888,              0.0097888
                     34,                 1.1261,                  0.927,                 1.6418,                0.94832,                0.94542,                0.97925,                0.79553,                0.73166,                0.57415,                 1.2674,              0.0097822,              0.0097822,              0.0097822
                     35,                 1.1364,                0.98183,                  1.664,                0.96423,                0.96827,                0.98075,                0.77146,                0.80774,                0.55629,                 1.3294,              0.0097756,              0.0097756,              0.0097756
                     36,                  1.122,                0.93412,                 1.6532,                0.97423,                0.97225,                0.98613,                 0.8066,                0.71949,                0.51385,                   1.26,               0.009769,               0.009769,               0.009769
                     37,                  1.142,                0.89711,                 1.6373,                0.94673,                0.97492,                0.98243,                0.79087,                0.76146,                0.56197,                 1.2875,              0.0097624,              0.0097624,              0.0097624
                     38,                 1.1091,                0.92593,                 1.6286,                0.97221,                0.97605,                0.98493,                0.79571,                0.73779,                0.50416,                 1.2655,              0.0097558,              0.0097558,              0.0097558
                     39,                 1.0989,                 0.9078,                 1.6165,                 0.9785,                0.97221,                0.98507,                0.76303,                0.87211,                0.52896,                 1.3651,              0.0097492,              0.0097492,              0.0097492
                     40,                 1.0887,                0.89745,                 1.5993,                0.86041,                0.90459,                0.93163,                0.73845,                0.78973,                0.82234,                 1.3274,              0.0097426,              0.0097426,              0.0097426
                     41,                 1.0814,                0.88752,                 1.5996,                0.95606,                0.94929,                0.98308,                0.78826,                 0.7707,                0.57243,                 1.2909,               0.009736,               0.009736,               0.009736
                     42,                 1.0671,                   0.85,                 1.5797,                0.98364,                 0.9705,                 0.9867,                0.81687,                0.69477,                0.47452,                 1.2176,              0.0097294,              0.0097294,              0.0097294
                     43,                 1.0904,                0.86068,                 1.5907,                 0.9814,                0.98017,                0.98691,                0.80073,                0.75359,                0.49121,                 1.2752,              0.0097228,              0.0097228,              0.0097228
                     44,                 1.0437,                0.81234,                 1.5432,                0.95617,                0.95666,                0.98462,                0.80429,                0.74068,                0.49545,                 1.2662,              0.0097162,              0.0097162,              0.0097162
                     45,                 1.0543,                0.84069,                 1.5666,                0.98204,                0.98865,                 0.9898,                0.81723,                0.72283,                0.44459,                  1.246,              0.0097096,              0.0097096,              0.0097096
                     46,                 1.0969,                 0.9265,                 1.5939,                0.97699,                0.97583,                0.98757,                0.81902,                0.70142,                0.45566,                 1.2365,               0.009703,               0.009703,               0.009703
                     47,                 1.0711,                0.79923,                 1.5923,                0.90607,                0.93882,                0.97326,                0.78401,                0.76074,                0.59309,                 1.2883,              0.0096964,              0.0096964,              0.0096964
                     48,                 1.0257,                0.77544,                 1.5351,                0.97586,                0.98113,                0.98617,                  0.813,                0.70216,                0.44657,                 1.2361,              0.0096898,              0.0096898,              0.0096898
                     49,                 1.0557,                0.79351,                 1.5611,                0.98693,                 0.9778,                0.98854,                0.81412,                0.68997,                0.44146,                 1.2216,              0.0096832,              0.0096832,              0.0096832
                     50,                 1.0727,                0.87168,                 1.5746,                0.96602,                0.97642,                0.98586,                 0.8241,                0.67171,                0.47202,                 1.2064,              0.0096766,              0.0096766,              0.0096766
                     51,                  1.029,                0.77345,                 1.5411,                0.98281,                0.98247,                0.98561,                0.81005,                0.72934,                0.45613,                 1.2513,                0.00967,                0.00967,                0.00967
                     52,                 1.0828,                0.84955,                 1.6023,                0.98202,                0.98406,                0.98699,                0.81636,                0.71293,                0.42105,                 1.2396,              0.0096634,              0.0096634,              0.0096634
                     53,                 1.0316,                0.74154,                 1.5429,                0.96312,                0.96929,                 0.9872,                0.81384,                0.70401,                0.44906,                 1.2403,              0.0096568,              0.0096568,              0.0096568
                     54,                 1.0226,                0.75335,                 1.5245,                0.97359,                0.97561,                0.98713,                0.82288,                0.68362,                 0.4593,                 1.2242,              0.0096502,              0.0096502,              0.0096502
                     55,                 1.0341,                0.75216,                 1.5484,                0.98066,                0.97939,                0.98643,                0.80706,                0.75276,                0.44197,                 1.2684,              0.0096436,              0.0096436,              0.0096436
                     56,                 1.0213,                0.82044,                 1.5452,                0.97858,                0.98021,                0.98792,                0.82687,                0.67528,                0.41302,                 1.2049,               0.009637,               0.009637,               0.009637
                     57,                 1.0183,                0.73486,                 1.5168,                0.98537,                0.98493,                0.98827,                0.81736,                0.69146,                0.42378,                  1.223,              0.0096304,              0.0096304,              0.0096304
                     58,                  1.015,                0.71643,                 1.5198,                0.98286,                0.97994,                0.98589,                0.81266,                0.72034,                0.42148,                 1.2425,              0.0096238,              0.0096238,              0.0096238
                     59,                 1.0031,                0.73259,                 1.5195,                0.97428,                0.97201,                0.98783,                0.80598,                0.73172,                0.43216,                 1.2511,              0.0096172,              0.0096172,              0.0096172
                     60,                  1.031,                0.72887,                 1.5453,                0.97387,                0.98349,                0.98298,                0.80952,                 0.7149,                0.42618,                 1.2391,              0.0096106,              0.0096106,              0.0096106
                     61,                 1.0157,                0.68844,                 1.5049,                0.98499,                0.98384,                0.98647,                  0.835,                0.67674,                0.40073,                 1.2049,               0.009604,               0.009604,               0.009604
                     62,                 1.0052,                0.76023,                 1.5368,                0.97909,                0.98375,                0.98543,                0.81295,                0.70175,                0.40939,                 1.2317,              0.0095974,              0.0095974,              0.0095974
                     63,                 1.0128,                0.71064,                 1.5303,                0.98201,                0.98111,                0.98659,                 0.8174,                0.71454,                0.41448,                 1.2557,              0.0095908,              0.0095908,              0.0095908
                     64,                 1.0097,                0.68186,                 1.5197,                0.97726,                0.97387,                0.98663,                0.82545,                0.68934,                0.40479,                  1.228,              0.0095842,              0.0095842,              0.0095842
                     65,                  1.014,                0.69074,                 1.5182,                0.98164,                0.97956,                0.98592,                0.82172,                0.67676,                0.40295,                  1.206,              0.0095776,              0.0095776,              0.0095776
                     66,                0.97772,                0.66897,                 1.4862,                0.97798,                0.98069,                0.98487,                0.82445,                0.67617,                0.38849,                 1.2094,               0.009571,               0.009571,               0.009571
                     67,                0.98862,                0.67831,                  1.502,                0.96974,                0.97951,                0.98644,                0.82603,                0.68877,                0.41168,                 1.2169,              0.0095644,              0.0095644,              0.0095644
                     68,                0.99621,                0.67132,                 1.4889,                0.98163,                0.98366,                0.98792,                0.83061,                0.66629,                0.37273,                 1.2039,              0.0095578,              0.0095578,              0.0095578
                     69,                0.97692,                0.66232,                 1.4894,                0.97834,                0.96832,                0.98736,                0.83164,                0.67174,                0.42665,                  1.209,              0.0095512,              0.0095512,              0.0095512
                     70,                0.99104,                0.67467,                 1.4845,                0.98633,                0.99013,                0.98838,                0.82575,                0.68869,                0.39483,                 1.2114,              0.0095446,              0.0095446,              0.0095446
                     71,                0.99419,                0.66269,                  1.509,                 0.9807,                0.98415,                0.98555,                0.83039,                0.67168,                 0.3827,                 1.1989,               0.009538,               0.009538,               0.009538
